INFO:     Started server process [93406]
INFO:     Waiting for application startup.
Starting MCP Registry vdev
[190/396] Imported server: io.github.kukapay/freqtrade-mcp
[191/396] Imported server: io.github.mfydev/ghost-mcp
[192/396] Imported server: io.github.ko1ynnky/github-actions-mcp-server
[193/396] Imported server: io.github.ddukbg/github-enterprise-mcp
[194/396] Imported server: io.github.gongrzhe/gmail-mcp-server
[195/396] Imported server: io.github.baryhuang/mcp-headless-gmail
[196/396] Imported server: io.github.hichana/goalstory-mcp
[197/396] Imported server: io.github.goat-sdk/goat
[198/396] Imported server: io.github.coding-solo/godot-mcp
[199/396] Imported server: io.github.mark3labs/mcp-filesystem-server
[200/396] Imported server: io.github.vectorinstitute/mcp-goodnews
[201/396] Imported server: io.github.v-3/google-calendar
[202/396] Imported server: io.github.nspady/google-calendar-mcp
[203/396] Imported server: io.github.adenot/mcp-google-search
[204/396] Imported server: io.github.xing5/mcp-google-sheets
[205/396] Imported server: io.github.rohans2/mcp-google-sheets
[206/396] Imported server: io.github.ubie-oss/mcp-vertexai-search
[207/396] Imported server: io.github.hannesj/mcp-graphql-schema
[208/396] Imported server: io.github.horizondatawave/hdw-mcp-server
[209/396] Imported server: io.github.heurist-network/heurist-mesh-mcp-server
[210/396] Imported server: io.github.heurist-network/heurist-agent-framework
[211/396] Imported server: io.github.syucream/holaspirit-mcp-server
[212/396] Imported server: io.github.tevonsb/homeassistant-mcp
[213/396] Imported server: io.github.voska/hass-mcp
[214/396] Imported server: io.github.buryhuang/mcp-hubspot
[215/396] Imported server: io.github.evalstate/mcp-hfspace
[216/396] Imported server: io.github.mektigboy/server-hyperliquid
[217/396] Imported server: io.github.stefanoamorelli/hyprmcp
[218/396] Imported server: io.github.iflytek/ifly-workflow-mcp-server
[219/396] Imported server: io.github.gongrzhe/image-generation-mcp-server
[220/396] Imported server: io.github.idoru/influxdb-mcp-server
[221/396] Imported server: io.github.sergehuber/inoyu-mcp-unomi-server
[222/396] Imported server: io.github.raoulbia-ai/mcp-server-for-intercom
[223/396] Imported server: io.github.inditextech/mcp-server-simulator-ios-idb
[224/396] Imported server: io.github.ferrislucas/iterm-mcp
[225/396] Imported server: io.github.rishabkoul/iterm-mcp-server
[226/396] Imported server: io.github.qainsights/jmeter-mcp-server
[227/396] Imported server: io.github.gongrzhe/json-mcp-server
[228/396] Imported server: io.github.kukapay/jupiter-mcp
[229/396] Imported server: io.github.lamaalrajih/kicad-mcp
[230/396] Imported server: io.github.christophenglisch/keycloak-model-context-protocol
[231/396] Imported server: io.github.kiwamizamurai/mcp-kibela-server
[232/396] Imported server: io.github.kong/mcp-konnect
[233/396] Imported server: io.github.flux159/mcp-server-kubernetes
[234/396] Imported server: io.github.gongrzhe/langflow-doc-qa-server
[235/396] Imported server: io.github.kone-net/mcp_server_lark
[236/396] Imported server: io.github.syucream/lightdash-mcp-server
[237/396] Imported server: io.github.tritlo/lsp-mcp
[238/396] Imported server: io.github.tacticlaunch/mcp-linear
[239/396] Imported server: io.github.jerhadf/linear-mcp-server
[240/396] Imported server: io.github.run-llama/mcp-server-llamacloud
[241/396] Imported server: io.github.cyberchitta/llm-context.py
[242/396] Imported server: io.github.carterlasalle/mac_messages_mcp
[243/396] Imported server: io.github.abel9851/mcp-server-mariadb
[244/396] Imported server: io.github.liuyoshio/mcp-compass
[245/396] Imported server: io.github.tesla0225/mcp-create
[246/396] Imported server: io.github.anaisbetts/mcp-installer
[247/396] Imported server: io.github.strowk/mcp-k8s-go
[248/396] Imported server: io.github.nkapila6/mcp-local-rag
[249/396] Imported server: io.github.sparfenyuk/mcp-proxy
[250/396] Imported server: io.github.tbxark/mcp-proxy
[251/396] Imported server: io.github.lciesielski/mcp-salesforce-example
[252/396] Imported server: io.github.mem0ai/mem0-mcp
[253/396] Imported server: io.github.unibaseio/membase-mcp
[254/396] Imported server: io.github.ariadng/metatrader-mcp-server
[255/396] Imported server: io.github.metricool/mcp-metricool
[256/396] Imported server: io.github.jexinsam/mssql_mcp_server
[257/396] Imported server: io.github.zcaceres/mcp-markdownify-server
[258/396] Imported server: io.github.inditextech/mcp-teams-server
[259/396] Imported server: io.github.jeff-nasseri/mikrotik-mcp
[260/396] Imported server: io.github.yuchenssr/mindmap-mcp-server
[261/396] Imported server: io.github.mobile-next/mobile-mcp
[262/396] Imported server: io.github.kiliczsh/mcp-mongo-server
[263/396] Imported server: io.github.furey/mongodb-lens
[264/396] Imported server: io.github.sakce/mcp-server-monday
[265/396] Imported server: io.github.yanmxa/multicluster-mcp-server
[266/396] Imported server: io.github.yuchenssr/multi-ai-advisor-mcp
[267/396] Imported server: io.github.benborla/mcp-server-mysql
[268/396] Imported server: io.github.designcomputer/mysql_mcp_server
[269/396] Imported server: io.github.leonardsellem/n8n-mcp-server
